name,ida_name,name_a,toggle_type,all_envs_match_s,class_s,code_owner_s,computed_status_edge_s,computed_status_prod_s,computed_status_stage_s,module_s,newest_modified_s,note_s,oldest_created_s,creation_date_a,default_a,description_a,implementation_a,line_number_a,source_file_a,target_removal_date_a,tickets_a,url_a,use_cases_a,warning_a
AUTH_TOKENS['LOG_REQUEST_USER_CHANGES'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
AUTH_TOKENS['LTI_NRPS_DISALLOW_PII'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
AUTH_TOKENS['MARKETING_EMAILS_OPT_IN'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
AUTH_TOKENS['SESSION_COOKIE_SECURE'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
AUTH_TOKENS['SHOW_ACCOUNT_ACTIVATION_CTA'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
AWS_QUERYSTRING_AUTH,lms,,django_settings,True,,,False,False,False,,,,,,,,,,,,,,,
BADGR_ENABLE_NOTIFICATIONS,lms,BADGR_ENABLE_NOTIFICATIONS,django_settings,,,,,False,,,,,,2021-07-29,False,"Optional setting for enabling email notifications. When set to ""True"",
    learners will be notified by email when they earn a badge.",DjangoSetting,"[3653, 3653, 3653, 3653, 3653, 3653, 3653]",lms/envs/common.py,,,https://github.com/openedx/edx-platform/blob/master/lms/envs/common.py#L3653-L3653,['open_edx'],Review FEATURES['ENABLE_OPENBADGES'] for further context.
BLOCKSTORE_USE_BLOCKSTORE_APP_API,lms,,django_settings,,,,,False,,,,,,,,,,,,,,,,
BLOCK_STRUCTURES_SETTINGS['PRUNING_ACTIVE'],lms,BLOCK_STRUCTURES_SETTINGS['PRUNING_ACTIVE'],django_settings,True,,,True,True,True,,,,,2018-03-22,False,"When `True`, only a specified number of versions of block structure
   files are kept for each structure, and the rest are cleaned up. The number of versions that
   are kept can be specified in the `BlockStructureConfiguration`, which can be edited in
   Django Admin. The default number of versions that are kept is `5`.",DjangoSetting,"[2842, 2842, 2842, 2842, 2842, 2842, 2842, 2842, 2842]",lms/envs/common.py,2018-06-22,"https://github.com/openedx/edx-platform/pull/14571,
   https://github.com/openedx/edx-platform/pull/17760,
   https://openedx.atlassian.net/browse/DEPR-146",https://github.com/openedx/edx-platform/blob/master/lms/envs/common.py#L2842-L2842,['temporary'],This toggle will likely be deprecated and removed.
BROKER_TRANSPORT_OPTIONS['fanout_patterns'],lms,,django_settings,True,,,True,True,,,,,,,,,,,,,,,,
BROKER_TRANSPORT_OPTIONS['fanout_prefix'],lms,,django_settings,True,,,True,True,,,,,,,,,,,,,,,,
BROKER_USE_SSL,lms,,django_settings,True,,,False,False,,,,,,,,,,,,,,,,
BULK_EMAIL_LOG_SENT_EMAILS,lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
BULK_EMAIL_SEND_USING_EDX_ACE,lms,BULK_EMAIL_SEND_USING_EDX_ACE,django_settings,,,,,,,,,,,2022-02-10,False,"If True, use edx-ace to send bulk email messages",DjangoSetting,"[20, 20, 20, 20, 20, 20, 20]",lms/djangoapps/bulk_email/toggles.py,,https://github.com/openedx/build-test-release-wg/issues/100,https://github.com/openedx/edx-platform/blob/master/lms/djangoapps/bulk_email/toggles.py#L20-L20,['open_edx'],
CALIPER_EVENTS_ENABLED,lms,,django_settings,,SettingToggle,,False,,,,,,,,,,,,,,,,,
CELERYD_HIJACK_ROOT_LOGGER,lms,,django_settings,,,,,False,,,,,,,,,,,,,,,,
CELERY_BROKER_USE_SSL,lms,,django_settings,,,,,False,,,,,,,,,,,,,,,,
CELERY_CREATE_MISSING_QUEUES,lms,,django_settings,True,,,True,True,,,,,,,,,,,,,,,,
CELERY_IGNORE_RESULT,lms,,django_settings,True,,,False,False,False,,,,,,,,,,,,,,,
CELERY_SEND_EVENTS,lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
CELERY_SEND_TASK_SENT_EVENT,lms,,django_settings,True,,,True,True,,,,,,,,,,,,,,,,
CELERY_STORE_ERRORS_EVEN_IF_IGNORED,lms,,django_settings,True,,,True,True,True,,,,,,,,,,,,,,,
CELERY_TRACK_STARTED,lms,,django_settings,True,,,True,True,True,,,,,,,,,,,,,,,
COOKIE_NAME_CHANGE_ACTIVATE,lms,COOKIE_NAME_CHANGE_ACTIVATE,django_settings,,,,,,,,,,,2021-08-04,False,Used to enable CookieNameChange middleware which changes a cookie name in request.COOKIES,DjangoSetting,"[60, 60, 60, 60, 60, 60, 60, 60, 60]",openedx/core/djangoapps/cookie_metadata/middleware.py,2021-10-01,https://openedx.atlassian.net/browse/ARCHBOM-1872,https://github.com/openedx/edx-platform/blob/master/openedx/core/djangoapps/cookie_metadata/middleware.py#L60-L60,['temporary'],This should be set at the same time you set COOKIE_NAME_CHANGE_EXPAND_INFO setting
CORS_ALLOW_CREDENTIALS,lms,,django_settings,True,,,True,True,,,,,,,,,,,,,,,,
CORS_ALLOW_INSECURE,lms,,django_settings,True,,,False,False,False,,,,,,,,,,,,,,,
CORS_ORIGIN_ALLOW_ALL,lms,,django_settings,True,,,False,False,,,,,,,,,,,,,,,,
COURSEGRAPH_DUMP_COURSE_ON_PUBLISH,lms,COURSEGRAPH_DUMP_COURSE_ON_PUBLISH,django_settings,,,,,,,,,,,2022-01-27,False,"Whether, upon publish, a course should automatically
      be exported to Neo4j via the connection parameters specified in
      `COURSEGRAPH_CONNECTION`.",DjangoSetting,"[2322, 2322, 2322, 2322, 2322, 2322]",cms/envs/common.py,,,https://github.com/openedx/edx-platform/blob/master/cms/envs/common.py#L2322-L2322,['open_edx'],
COURSES_INVITE_ONLY,lms,COURSES_INVITE_ONLY,django_settings,True,SettingToggle,,False,False,False,,,,,2019-05-16,False,Setting this sets the default value of INVITE_ONLY across all courses in a given deployment,SettingToggle,"[86, 86, 86, 86, 86, 86, 86]",lms/djangoapps/courseware/toggles.py,,https://github.com/mitodl/edx-platform/issues/123,https://github.com/openedx/edx-platform/blob/master/lms/djangoapps/courseware/toggles.py#L86-L86,['open_edx'],
CSRF_COOKIE_HTTPONLY,lms,,django_settings,True,,,False,False,,,,,,,,,,,,,,,,
CSRF_COOKIE_SECURE,lms,,django_settings,True,,,True,True,,,,,,,,,,,,,,,,
CSRF_USE_SESSIONS,lms,,django_settings,True,,,False,False,False,,,,,,,,,,,,,,,
CUSTOM_COURSES_EDX,lms,CUSTOM_COURSES_EDX,django_settings,,,,,,,,,,,2015-04-10,False,"Set to True to enable Custom Courses for edX, a feature that is more commonly known as
   CCX. Documentation for configuring and using this feature is available at
   https://edx.readthedocs.io/projects/open-edx-ca/en/latest/set_up_course/custom_courses.html",DjangoSetting,"[312, 312, 312, 312, 312, 312, 312, 312]",lms/envs/common.py,,https://github.com/openedx/edx-platform/pull/6636,https://github.com/openedx/edx-platform/blob/master/lms/envs/common.py#L312-L312,"['opt_in', 'circuit_breaker']","When set to true, 'lms.djangoapps.ccx.overrides.CustomCoursesForEdxOverrideProvider' will
    be added to MODULESTORE_FIELD_OVERRIDE_PROVIDERS"
CourseDurationLimitConfig.enabled,lms,CourseDurationLimitConfig.enabled,configuration_models,,,,,,,,,,,2018-11-02,False,"When enabled, users will have a limited time to complete and audit the course. The exact
       duration is given by the ""weeks_to_complete"" course detail. When enabled, it is necessary to also define the
       ""enabled_as_of"" flag: only enrollments created after this date will be affected.",ConfigurationModel,"[16, 16, 16, 16, 16, 16]",openedx/features/course_duration_limits/models.py,,,https://github.com/openedx/edx-platform/blob/master/openedx/features/course_duration_limits/models.py#L16-L16,['opt_in'],
CourseHLSPlaybackEnabledFlag.course_id,lms,CourseHLSPlaybackEnabledFlag.course_id,configuration_models,,,,,,,,,,,2017-04-19,False,"Add the ""hls"" profile to all displayed videos for a single course.",ConfigurationModel,"[67, 67, 67, 67, 67, 67, 67]",openedx/core/djangoapps/video_config/models.py,,https://github.com/openedx/edx-platform/pull/14924,https://github.com/openedx/edx-platform/blob/master/openedx/core/djangoapps/video_config/models.py#L67-L67,['open_edx'],
CourseVideoUploadsEnabledByDefault.course_id,lms,CourseVideoUploadsEnabledByDefault.course_id,configuration_models,,,,,,,,,,,2017-11-10,False,"Allow video uploads for a specific course. This enables the
      ""Video Uploads"" menu in the CMS.",ConfigurationModel,"[105, 105, 105, 105, 105, 105, 105]",openedx/core/djangoapps/video_pipeline/models.py,,https://github.com/openedx/edx-platform/pull/16536,https://github.com/openedx/edx-platform/blob/master/openedx/core/djangoapps/video_pipeline/models.py#L105-L105,['open_edx'],
DCS_SESSION_COOKIE_SAMESITE_FORCE_ALL,lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
DEBUG,lms,,django_settings,True,,,False,False,False,,,,,,,,,,,,,,,
DEBUG_PROPAGATE_EXCEPTIONS,lms,,django_settings,,,,,False,,,,,,,,,,,,,,,,
DEBUG_TOOLBAR_PATCH_SETTINGS,lms,,django_settings,,,,,False,,,,,,,,,,,,,,,,
DEBUG_TRACK_LOG,lms,,django_settings,,,,,False,,,,,,,,,,,,,,,,
DEFAULT_MOBILE_AVAILABLE,lms,DEFAULT_MOBILE_AVAILABLE,django_settings,True,,,False,False,False,,,,,2021-01-26,False,"This specifies if the courses are available for mobile by default. To make any individual
   course available for mobile one can set the value of Mobile Course Available to true in Advanced Settings from the
   studio when this is False.",DjangoSetting,"[4059, 4059, 4059, 4059, 4059, 4059, 4059]",lms/envs/common.py,,https://openedx.atlassian.net/browse/OSPR-1985,https://github.com/openedx/edx-platform/blob/master/lms/envs/common.py#L4059-L4059,['open_edx'],
DEFAULT_TEMPLATE_ENGINE['APP_DIRS'],lms,,django_settings,True,,,False,False,False,,,,,,,,,,,,,,,
DEV_CONTENT,lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
DISABLE_DEPRECATED_SIGNIN_URL,lms,DISABLE_DEPRECATED_SIGNIN_URL,django_settings,,,,,,,,,,,2019-12-02,False,Toggle for removing the deprecated /signin url.,DjangoSetting,"[2585, 2585, 2585, 2585, 2585, 2585, 2585, 2585, 2585]",cms/envs/common.py,2020-06-01,ARCH-1253,https://github.com/openedx/edx-platform/blob/master/cms/envs/common.py#L2585-L2585,['temporary'],This url can be removed once it no longer has any real traffic.
DISABLE_DEPRECATED_SIGNUP_URL,lms,DISABLE_DEPRECATED_SIGNUP_URL,django_settings,,,,,,,,,,,2019-12-02,False,Toggle for removing the deprecated /signup url.,DjangoSetting,"[2596, 2596, 2596, 2596, 2596, 2596, 2596, 2596, 2596]",cms/envs/common.py,2020-06-01,ARCH-1253,https://github.com/openedx/edx-platform/blob/master/cms/envs/common.py#L2596-L2596,['temporary'],This url can be removed once it no longer has any real traffic.
DISABLE_JWT_FOR_MOBILE,lms,DISABLE_JWT_FOR_MOBILE,waffle_switches,,,,,,,,,,,2022-10-14,False,"Set toggle to True to ignore mobile requests
   for JWTs, and instead provide the legacy opaque Bearer token. This
   toggle can be used as a temporary kill switch as the mobile app
   attempts to rollout the transition to JWT authentication for the
   first time.",WaffleSwitch,"[10, 10, 10, 10, 10, 10, 10]",openedx/core/djangoapps/oauth_dispatch/toggles.py,2022-12-30,,https://github.com/openedx/edx-platform/blob/master/openedx/core/djangoapps/oauth_dispatch/toggles.py#L10-L10,['temporary'],
DOC_STORE_CONFIG['ssl'],lms,,django_settings,,,,,False,,,,,,,,,,,,,,,,
EMAIL_USE_COURSE_ID_FROM_FOR_BULK,lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
EMAIL_USE_LOCALTIME,lms,,django_settings,,,,,False,,,,,,,,,,,,,,,,
EMAIL_USE_SSL,lms,,django_settings,,,,,False,,,,,,,,,,,,,,,,
EMAIL_USE_TLS,lms,,django_settings,,,,,False,,,,,,,,,,,,,,,,
ENABLE_AUTHN_LOGIN_BLOCK_HIBP_POLICY,lms,ENABLE_AUTHN_LOGIN_BLOCK_HIBP_POLICY,django_settings,,,,,True,,,,,,2022-03-29,False,"When enabled, this toggle activates the use of the password validation
   on Authn MFE's login.",DjangoSetting,"[4951, 4951, 4951, 4951, 4951, 4951, 4951, 4951]",lms/envs/common.py,None,https://openedx.atlassian.net/browse/VAN-667,https://github.com/openedx/edx-platform/blob/master/lms/envs/common.py#L4951-L4951,['temporary'],
ENABLE_AUTHN_LOGIN_NUDGE_HIBP_POLICY,lms,ENABLE_AUTHN_LOGIN_NUDGE_HIBP_POLICY,django_settings,,,,,True,,,,,,2022-03-29,False,"When enabled, this toggle activates the use of the password validation
   on Authn MFE's login.",DjangoSetting,"[4939, 4939, 4939, 4939, 4939, 4939, 4939, 4939]",lms/envs/common.py,None,https://openedx.atlassian.net/browse/VAN-668,https://github.com/openedx/edx-platform/blob/master/lms/envs/common.py#L4939-L4939,['temporary'],
ENABLE_AUTHN_REGISTER_HIBP_POLICY,lms,ENABLE_AUTHN_REGISTER_HIBP_POLICY,django_settings,,,,,True,,,,,,2022-03-25,False,"When enabled, this toggle activates the use of the password validation
   HIBP Policy on Authn MFE's registration.",DjangoSetting,"[4928, 4928, 4928, 4928, 4928, 4928, 4928]",lms/envs/common.py,,https://openedx.atlassian.net/browse/VAN-669,https://github.com/openedx/edx-platform/blob/master/lms/envs/common.py#L4928-L4928,['open_edx'],
ENABLE_AUTHN_RESET_PASSWORD_HIBP_POLICY,lms,ENABLE_AUTHN_RESET_PASSWORD_HIBP_POLICY,django_settings,,,,,True,,,,,,2021-12-03,False,"When enabled, this toggle activates the use of the password validation
   HIBP Policy.",DjangoSetting,"[4919, 4919, 4919, 4919, 4919, 4919, 4919]",lms/envs/common.py,,https://openedx.atlassian.net/browse/VAN-666,https://github.com/openedx/edx-platform/blob/master/lms/envs/common.py#L4919-L4919,['open_edx'],
ENABLE_CODEJAIL_REST_SERVICE,lms,ENABLE_CODEJAIL_REST_SERVICE,django_settings,True,SettingToggle,,False,False,False,xmodule.capa.safe_exec.remote_exec,,,,2021-08-19,False,"Set this to True if you want to run Codejail code using
   a separate VM or container and communicate with edx-platform using REST API.",SettingToggle,"[21, 21, 21, 21, 21, 21]",xmodule/capa/safe_exec/remote_exec.py,,,https://github.com/openedx/edx-platform/blob/master/xmodule/capa/safe_exec/remote_exec.py#L21-L21,['open_edx'],
ENABLE_COMPREHENSIVE_THEMING,lms,ENABLE_COMPREHENSIVE_THEMING,django_settings,True,,,True,True,True,,,,,2016-06-30,False,"When enabled, this toggle activates the use of the custom theme
   defined by DEFAULT_SITE_THEME.",DjangoSetting,"[4472, 4472, 4472, 4472, 4472, 4472]",lms/envs/common.py,,,https://github.com/openedx/edx-platform/blob/master/lms/envs/common.py#L4472-L4472,['open_edx'],
ENABLE_COPPA_COMPLIANCE,lms,ENABLE_COPPA_COMPLIANCE,django_settings,True,,,True,True,,,,,,2021-10-27,False,"When True, inforces COPPA compliance and removes YOB field from registration form and accounnt",DjangoSetting,"[1072, 1072, 1072, 1072, 1072, 1072, 1072]",lms/envs/common.py,,'https://openedx.atlassian.net/browse/VAN-622',https://github.com/openedx/edx-platform/blob/master/lms/envs/common.py#L1072-L1072,['open_edx'],
ENABLE_CREDIT_ELIGIBILITY,lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENABLE_DEMOGRAPHICS_COLLECTION,lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENABLE_DYNAMIC_REGISTRATION_FIELDS,lms,ENABLE_DYNAMIC_REGISTRATION_FIELDS,django_settings,,,,,True,,,,,,2022-04-21,False,"When enabled, this toggle adds fields configured in",DjangoSetting,"[4963, 4963, 4963, 4963, 4963, 4963, 4963, 4963]",lms/envs/common.py,None,https://openedx.atlassian.net/browse/VAN-838,https://github.com/openedx/edx-platform/blob/master/lms/envs/common.py#L4963-L4963,['temporary'],
ENABLE_JASMINE,lms,,django_settings,,,,,False,,,,,,,,,,,,,,,,
ENABLE_MFE_CONFIG_API,lms,ENABLE_MFE_CONFIG_API,django_settings,,,,,False,,,,,,2022-05-20,False,"Set to True to enable MFE Config API. This is disabled by
   default.",DjangoSetting,"[5207, 5207, 5207, 5207, 5207, 5207, 5207, 5207]",lms/envs/common.py,None,None,https://github.com/openedx/edx-platform/blob/master/lms/envs/common.py#L5207-L5207,['open_edx'],
ENABLE_MULTICOURSE,lms,,django_settings,,,,,False,,,,,,,,,,,,,,,,
ENABLE_ORA_MOBILE_SUPPORT,lms,,waffle_flags,,,,,,on,,2020-12-04 15:46:13,,2020-12-02 18:27:44,,,,,,,,,,,
ENABLE_REQUIRE_THIRD_PARTY_AUTH,lms,ENABLE_REQUIRE_THIRD_PARTY_AUTH,django_settings,True,,,False,False,,,,,,2020-09-16,False,"Set to True to prevent using username/password login and registration and only allow
   authentication with third party auth",DjangoSetting,"[11, 11, 11, 11, 11, 11, 11]",openedx/core/djangoapps/user_authn/toggles.py,,,https://github.com/openedx/edx-platform/blob/master/openedx/core/djangoapps/user_authn/toggles.py#L11-L11,['open_edx'],Requires configuration of third party auth
ENABLE_SAVE_FOR_LATER,lms,,django_settings,False,,,False,True,True,,,,,,,,,,,,,,,
ENFORCE_SAFE_SESSIONS,lms,ENFORCE_SAFE_SESSIONS,django_settings,True,SettingToggle,,True,True,True,,,,,2021-12-01,True,"Invalidate session and response if mismatch detected.
   That is, when the `user` attribute of the request object gets changed or
   no longer matches the session, the session will be invalidated and the
   response cancelled (changed to an error). This is intended as a backup
   safety measure in case an attacker (or bug) is able to change the user
   on a session in an unexpected way.",SettingToggle,"[136, 136, 136, 136, 136, 136, 136, 136]",openedx/core/djangoapps/safe_sessions/middleware.py,,https://openedx.atlassian.net/browse/ARCHBOM-1861,https://github.com/openedx/edx-platform/blob/master/openedx/core/djangoapps/safe_sessions/middleware.py#L136-L136,['opt_out'],"Should be disabled if debugging mismatches using the
   LOG_REQUEST_USER_CHANGE_HEADERS toggle, otherwise series of mismatching
   requests from the same user cannot be investigated.  Additionally, if
   enabling for the first time, confirm that incidences of the string
   ""SafeCookieData user at request"" in the logs are very rare; if they are
   not, it is likely that there is either a bug or that a login or
   registration endpoint needs to call ``mark_user_change_as_expected``."
ENV_FEATURES['ALLOW_COURSE_RERUNS'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['ALLOW_COURSE_STAFF_GRADE_DOWNLOADS'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['CERTIFICATES_HTML_VIEW'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['CERTIFICATES_INSTRUCTOR_GENERATION'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['CUSTOM_CERTIFICATE_TEMPLATES_ENABLED'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['CUSTOM_COURSES_EDX'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['DISABLE_AUDIT_CERTIFICATES'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['DISABLE_COURSE_CREATION'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['DISABLE_HONOR_CERTIFICATES'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['DISABLE_LIBRARY_CREATION'],lms,,django_settings,,,,,False,,,,,,,,,,,,,,,,
ENV_FEATURES['DISABLE_MOBILE_COURSE_AVAILABLE'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['DISPLAY_ANALYTICS_DEMOGRAPHICS'],lms,,django_settings,,,,,False,,,,,,,,,,,,,,,,
ENV_FEATURES['DISPLAY_ANALYTICS_ENROLLMENTS'],lms,,django_settings,,,,,False,,,,,,,,,,,,,,,,
ENV_FEATURES['EDITABLE_SHORT_DESCRIPTION'],lms,,django_settings,,,,,False,,,,,,,,,,,,,,,,
ENV_FEATURES['EMBARGO'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['ENABLE_ANALYTICS_ACTIVE_COUNT'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['ENABLE_API_DOCS'],lms,,django_settings,,,,,False,,,,,,,,,,,,,,,,
ENV_FEATURES['ENABLE_ASYNC_ANSWER_DISTRIBUTION'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['ENABLE_AUTHN_MICROFRONTEND'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['ENABLE_CERTIFICATES_IDV_REQUIREMENT'],lms,,django_settings,,,,,False,,,,,,,,,,,,,,,,
ENV_FEATURES['ENABLE_COACHING'],lms,,django_settings,,,,,False,,,,,,,,,,,,,,,,
ENV_FEATURES['ENABLE_COMBINED_LOGIN_REGISTRATION'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['ENABLE_CORS_HEADERS'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['ENABLE_COUNTRY_ACCESS'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['ENABLE_COURSEWARE_SEARCH_FOR_COURSE_STAFF'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['ENABLE_COURSE_ASSESSMENT_GRADE_CHANGE_SIGNAL'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['ENABLE_COURSE_OLX_VALIDATION'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['ENABLE_CREATOR_GROUP'],lms,,django_settings,,,,,False,,,,,,,,,,,,,,,,
ENV_FEATURES['ENABLE_CREDIT_API'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['ENABLE_CREDIT_ELIGIBILITY'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['ENABLE_CROSS_DOMAIN_CSRF_COOKIE'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['ENABLE_CSMH_EXTENDED'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['ENABLE_DEBUG_RUN_PYTHON'],lms,,django_settings,,,,,False,,,,,,,,,,,,,,,,
ENV_FEATURES['ENABLE_DISCUSSION_HOME_PANEL'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['ENABLE_DISCUSSION_SERVICE'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['ENABLE_EDXNOTES'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['ENABLE_ENTERPRISE_INTEGRATION'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['ENABLE_FEEDBACK_SUBMISSION'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['ENABLE_FINANCIAL_ASSISTANCE_FORM'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['ENABLE_FOOTER_MOBILE_APP_LINKS'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['ENABLE_FORUM_DAILY_DIGEST'],lms,,django_settings,,,,,False,,,,,,,,,,,,,,,,
ENV_FEATURES['ENABLE_GRADE_DOWNLOADS'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['ENABLE_INSTRUCTOR_ANALYTICS'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['ENABLE_INSTRUCTOR_BETA_DASHBOARD'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['ENABLE_INSTRUCTOR_LEGACY_DASHBOARD'],lms,,django_settings,,,,,False,,,,,,,,,,,,,,,,
ENV_FEATURES['ENABLE_INTEGRITY_SIGNATURE'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['ENABLE_MAX_FAILED_LOGIN_ATTEMPTS'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['ENABLE_MKTG_EMAIL_OPT_IN'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['ENABLE_MKTG_SITE'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['ENABLE_MOBILE_REST_API'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['ENABLE_NEW_BULK_EMAIL_EXPERIENCE'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['ENABLE_OAUTH2_PROVIDER'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
ENV_FEATURES['ENABLE_ORA_MOBILE_SUPPORT'],lms,,django_settings,,,,,True,,,,,,,,,,,,,,,,
